Date;Device;App;UsageTime;UsageCount
December 10, 2022;samsung SM-A536B;GuitarTuna;0s;0
December 11, 2022;samsung SM-A536B;GuitarTuna;0s;0
December 12, 2022;samsung SM-A536B;GuitarTuna;0s;0
December 13, 2022;samsung SM-A536B;GuitarTuna;0s;0
December 14, 2022;samsung SM-A536B;GuitarTuna;0s;0
December 15, 2022;samsung SM-A536B;GuitarTuna;0s;0
December 16, 2022;samsung SM-A536B;GuitarTuna;0s;0
December 17, 2022;samsung SM-A536B;GuitarTuna;0s;0
December 18, 2022;samsung SM-A536B;GuitarTuna;0s;0
December 19, 2022;samsung SM-A536B;GuitarTuna;0s;0
December 20, 2022;samsung SM-A536B;GuitarTuna;0s;0
December 21, 2022;samsung SM-A536B;GuitarTuna;0s;0
December 22, 2022;samsung SM-A536B;GuitarTuna;2m 39s;1
December 23, 2022;samsung SM-A536B;GuitarTuna;0s;0
December 24, 2022;samsung SM-A536B;GuitarTuna;5m 5s;1
December 25, 2022;samsung SM-A536B;GuitarTuna;0s;0
December 26, 2022;samsung SM-A536B;GuitarTuna;0s;0
December 27, 2022;samsung SM-A536B;GuitarTuna;0s;0
December 28, 2022;samsung SM-A536B;GuitarTuna;37s;1
December 29, 2022;samsung SM-A536B;GuitarTuna;0s;0
December 30, 2022;samsung SM-A536B;GuitarTuna;3m 14s;1
December 31, 2022;samsung SM-A536B;GuitarTuna;0s;0
December 10, 2022;HUAWEI STK-LX1;GuitarTuna;0s;0
December 11, 2022;HUAWEI STK-LX2;GuitarTuna;4m 15s;2
December 12, 2022;HUAWEI STK-LX3;GuitarTuna;0s;0
December 13, 2022;HUAWEI STK-LX4;GuitarTuna;0s;0
December 14, 2022;HUAWEI STK-LX5;GuitarTuna;0s;0
December 15, 2022;HUAWEI STK-LX6;GuitarTuna;0s;0
December 16, 2022;HUAWEI STK-LX7;GuitarTuna;49s;1
December 17, 2022;HUAWEI STK-LX8;GuitarTuna;1m 34s;1
December 18, 2022;HUAWEI STK-LX9;GuitarTuna;0s;0
December 19, 2022;HUAWEI STK-LX10;GuitarTuna;0s;0
December 20, 2022;HUAWEI STK-LX11;GuitarTuna;0s;0
December 21, 2022;HUAWEI STK-LX12;GuitarTuna;0s;0
December 22, 2022;HUAWEI STK-LX13;GuitarTuna;5m 27s;2
December 23, 2022;HUAWEI STK-LX14;GuitarTuna;0s;0
